member_id,status,sex,date_of_birth,annual_pension,normal_retirement_age
M0001,pensioner,F,1952-02-18,8538.36,65
M0002,pensioner,M,1948-07-26,7886.98,65
M0003,pensioner,M,1947-01-17,5525.5,65
M0004,pensioner,M,1953-07-19,3721.1,65
M0005,pensioner,M,1957-02-06,44013.52,65
M0006,pensioner,M,1954-09-15,3994.84,65
M0007,pensioner,M,1961-05-24,3295.21,65
M0008,pensioner,F,1947-07-15,8867.28,65
M0009,pensioner,M,1948-05-07,7526.49,65
M0010,pensioner,M,1954-01-16,1694.6,65
M0011,pensioner,M,1945-07-21,16480.37,65
M0012,pensioner,M,1950-10-30,5512.31,65
M0013,pensioner,M,1961-06-11,2207.63,65
M0014,pensioner,M,1951-08-15,17490.63,65
M0015,pensioner,M,1947-07-18,10536.73,65
M0016,pensioner,F,1954-12-20,1922.59,65
M0017,pensioner,F,1956-01-19,29702.29,65
M0018,pensioner,M,1960-01-07,10855.56,65
M0019,pensioner,M,1944-10-15,5945.19,65
M0020,pensioner,F,1955-10-22,25102.22,65
M0021,pensioner,F,1957-12-30,6924.93,65
M0022,pensioner,M,1957-05-21,5850.25,65
M0023,pensioner,F,1950-04-24,3311.79,65
M0024,pensioner,F,1951-08-25,10129.23,65
M0025,pensioner,F,1951-04-08,9213.8,65
M0026,pensioner,M,1951-02-15,6079.8,65
M0027,pensioner,M,1937-06-09,2946.95,65
M0028,pensioner,M,1957-10-27,6744.29,65
M0029,pensioner,M,1958-09-01,5634.68,65
M0030,pensioner,M,1961-01-29,1806.94,65
M0031,pensioner,M,1949-08-23,1595.41,65
M0032,pensioner,M,1945-07-16,9978.15,65
M0033,pensioner,M,1955-06-25,576.98,65
M0034,pensioner,F,1961-04-16,7218.37,65
M0035,pensioner,M,1961-03-02,3901.98,65
M0036,pensioner,M,1949-05-13,19475.97,65
M0037,pensioner,F,1948-08-16,3848.33,65
M0038,pensioner,F,1950-03-23,10862.27,65
M0039,pensioner,F,1959-11-23,4197.7,65
M0040,pensioner,F,1952-09-17,6646.78,65
M0041,pensioner,F,1953-08-21,11645.41,65
